Year,School,School_Consistant,lon,lat,IndianMale,IndianFemale,Indian_Pop,Indian_Prcnt,IndianPercent,AsianMale,AsianFemale,Asian_Pop,Asian_Prcnt,AsianPercent,HispanicMale,HispanicFemale,Hispanic_Pop,Hispanic_Prcnt,HispanicPercent,BlackMale,BlackFemale,Black_Pop,Black_Prcnt,BlackPercent,WhiteMale,WhiteFemale,White_Pop,White_Prcnt,WhitePercent,PacificIslandMale,PacificIslandFemale,Pacific_Pop,Pacific_Prcnt,PacificPercent,TwoorMoreMale,TwoorMoreFemale,Mixed_Pop,Mixed_Prcnt,TwoorMorePercent,Total,Diverse1,Diverse2,Diverse3
2016,Lansdowne Elementary,LANSDOWNE ELEMENTARY,-80.781948,35.143165,1,0,1,0.164,0.20%,9,17,26,4.262,4.30%,36,54,90,14.754,14.80%,110,99,209,34.262,34.30%,144,120,264,43.279,43.30%,1,0,1,0.164,0.20%,11,8,19,3.115,3.10%,610,0,0,0
2017,Lansdowne Elementary,LANSDOWNE ELEMENTARY,-80.781948,35.143165,0,0,0,0,0.00%,4,16,20,3.534,3.50%,32,45,77,13.604,13.60%,103,89,192,33.922,33.90%,138,119,257,45.406,45.40%,1,0,1,0.177,0.20%,10,9,19,3.357,3.40%,566,0,0,0
2018,Lansdowne Elementary,LANSDOWNE ELEMENTARY,-80.781948,35.143165,1,0,1,0.181,0.20%,6,17,23,4.167,4.20%,40,45,85,15.399,15.40%,107,91,198,35.87,35.90%,121,100,221,40.036,40.00%,0,0,0,0,0.00%,12,12,24,4.348,4.30%,552,0,0,0
2019,Lansdowne Elementary,LANSDOWNE ELEMENTARY,-80.781948,35.143165,0,0,0,0,0.00%,8,21,29,5.179,5.20%,35,48,83,14.821,14.80%,100,94,194,34.643,34.60%,121,105,226,40.357,40.40%,0,0,0,0,0.00%,14,14,28,5,5.00%,560,0,0,0
2020,Lansdowne Elementary,LANSDOWNE ELEMENTARY,-80.781948,35.143165,0,0,0,0,0.00%,8,14,22,3.971,4.00%,36,42,78,14.079,14.10%,103,111,214,38.628,38.60%,111,102,213,38.448,38.40%,0,0,0,0,0.00%,13,14,27,4.874,4.90%,554,0,0,0
2016,Lawrence Orr Elementary,LAWRENCE ORR ELEMENTARY,-80.744011,35.226119,4,5,9,1.306,1.30%,26,29,55,7.983,8.00%,136,142,278,40.348,40.30%,158,161,319,46.299,46.30%,10,4,14,2.032,2.00%,0,1,1,0.145,0.10%,5,8,13,1.887,1.90%,689,0,1,1
2017,Lawrence Orr Elementary,LAWRENCE ORR ELEMENTARY,-80.744011,35.226119,2,5,7,0.975,1.00%,25,33,58,8.078,8.10%,144,155,299,41.643,41.60%,155,170,325,45.265,45.30%,9,4,13,1.811,1.80%,0,0,0,0,0.00%,7,9,16,2.228,2.20%,718,0,1,1
2018,Lawrence Orr Elementary,LAWRENCE ORR ELEMENTARY,-80.744011,35.226119,2,4,6,0.875,0.90%,31,33,64,9.329,9.30%,146,137,283,41.254,41.30%,156,142,298,43.44,43.40%,9,6,15,2.187,2.20%,1,2,3,0.437,0.40%,7,10,17,2.478,2.50%,686,0,1,1
2019,Lawrence Orr Elementary,LAWRENCE ORR ELEMENTARY,-80.744011,35.226119,0,0,0,0,0.00%,33,33,66,9.483,9.50%,161,138,299,42.96,43.00%,160,132,292,41.954,42.00%,13,10,23,3.305,3.30%,1,0,1,0.144,0.10%,6,9,15,2.155,2.20%,696,0,1,1
2020,Lawrence Orr Elementary,LAWRENCE ORR ELEMENTARY,-80.744011,35.226119,0,0,0,0,0.00%,29,33,62,9.351,9.40%,160,153,313,47.21,47.20%,140,103,243,36.652,36.70%,16,4,20,3.017,3.00%,1,0,1,0.151,0.20%,10,14,24,3.62,3.60%,663,0,1,1
2008,LEADERSHIP & PUBLIC,LEADERSHIP & PUBLIC,-80.876561,35.202528,0,0,0,0,0.00%,2,3,5,2.415,2.40%,26,29,55,26.57,26.60%,67,73,140,67.633,67.60%,5,2,7,3.382,3.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,207,0,1,1
2008,LEBANON ROAD ELEM,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,6,3,9,1.131,1.10%,11,7,18,2.261,2.30%,139,113,252,31.658,31.70%,161,157,318,39.95,39.90%,94,105,199,25,25.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,796,0,0,0
2009,LEBANON ROAD ELEM,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,1,2,3,0.355,0.40%,7,9,16,1.896,1.90%,134,132,266,31.517,31.50%,174,188,362,42.891,42.90%,82,115,197,23.341,23.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,844,0,0,0
2010,LEBANON ROAD ELEM,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,1,2,3,0.398,0.40%,9,5,14,1.859,1.90%,121,124,245,32.537,32.50%,154,161,315,41.833,41.80%,78,98,176,23.373,23.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,753,0,0,0
2011,LEBANON ROAD ELEMENTARY,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,3,3,6,0.738,0.70%,6,5,11,1.353,1.40%,127,120,247,30.381,30.40%,142,153,295,36.285,36.30%,85,101,186,22.878,22.90%,0,0,0,0,0.00%,32,36,68,8.364,8.40%,813,0,0,0
2012,LEBANON ROAD ELEMENTARY,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,1,2,3,0.386,0.40%,1,0,1,0.129,0.10%,136,118,254,32.648,32.60%,151,157,308,39.589,39.60%,92,92,184,23.65,23.70%,0,0,0,0,0.00%,15,13,28,3.599,3.60%,778,0,0,0
2013,LEBANON ROAD ELEMENTARY,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,2,2,4,0.491,0.50%,4,0,4,0.491,0.50%,150,142,292,35.828,35.80%,163,160,323,39.632,39.60%,91,79,170,20.859,20.90%,0,0,0,0,0.00%,8,14,22,2.699,2.70%,815,0,0,0
2014,Lebanon Road Elementary,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,0,2,2,0.249,0.20%,9,0,9,1.121,1.10%,156,131,287,35.741,35.70%,165,150,315,39.228,39.20%,92,78,170,21.171,21.20%,1,0,1,0.125,0.10%,9,10,19,2.366,2.40%,803,0,0,0
2015,Lebanon Road Elementary,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,1,3,4,0.512,0.50%,11,4,15,1.921,1.90%,156,135,291,37.26,37.30%,150,153,303,38.796,38.80%,78,77,155,19.846,19.80%,2,0,2,0.256,0.30%,7,4,11,1.408,1.40%,781,0,0,0
2016,Lebanon Road Elementary,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,2,4,6,0.746,0.70%,13,4,17,2.114,2.10%,152,162,314,39.055,39.10%,164,146,310,38.557,38.60%,81,66,147,18.284,18.30%,1,1,2,0.249,0.20%,4,4,8,0.995,1.00%,804,0,0,0
2017,Lebanon Road Elementary,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,1,5,6,0.792,0.80%,14,8,22,2.902,2.90%,152,155,307,40.501,40.50%,152,150,302,39.842,39.80%,57,46,103,13.588,13.60%,1,1,2,0.264,0.30%,9,7,16,2.111,2.10%,758,0,0,0
2018,Lebanon Road Elementary,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,4,5,9,1.203,1.20%,16,5,21,2.807,2.80%,138,152,290,38.77,38.80%,172,150,322,43.048,43.00%,44,43,87,11.631,11.60%,1,1,2,0.267,0.30%,10,7,17,2.273,2.30%,748,0,0,0
2019,Lebanon Road Elementary,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,2,2,4,0.563,0.60%,19,7,26,3.657,3.70%,150,142,292,41.069,41.10%,160,122,282,39.662,39.70%,46,39,85,11.955,12.00%,2,1,3,0.422,0.40%,9,10,19,2.672,2.70%,711,0,0,0
2020,Lebanon Road Elementary,LEBANON ROAD ELEMENTARY,-80.689484,35.184124,2,1,3,0.421,0.40%,18,16,34,4.775,4.80%,156,145,301,42.275,42.30%,152,115,267,37.5,37.50%,48,28,76,10.674,10.70%,0,2,2,0.281,0.30%,15,14,29,4.073,4.10%,712,0,0,0
2015,Levine Middle College High,LEVINE MIDDLE COLLEGE HIGH,-80.692782,35.107589,0,1,1,0.971,1.00%,4,5,9,8.738,8.70%,4,10,14,13.592,13.60%,9,13,22,21.359,21.40%,19,31,50,48.544,48.50%,0,0,0,0,0.00%,1,6,7,6.796,6.80%,103,0,0,0
2016,Levine Middle College High,LEVINE MIDDLE COLLEGE HIGH,-80.692782,35.107589,0,1,1,0.526,0.50%,3,8,11,5.789,5.80%,8,17,25,13.158,13.20%,13,22,35,18.421,18.40%,40,69,109,57.368,57.40%,2,1,3,1.579,1.60%,2,4,6,3.158,3.20%,190,0,0,0
2017,Levine Middle College High,LEVINE MIDDLE COLLEGE HIGH,-80.692782,35.107589,0,0,0,0,0.00%,2,11,13,5.285,5.30%,15,21,36,14.634,14.60%,19,26,45,18.293,18.30%,52,92,144,58.537,58.50%,2,1,3,1.22,1.20%,1,4,5,2.033,2.00%,246,0,0,0
2018,Levine Middle College High,LEVINE MIDDLE COLLEGE HIGH,-80.692782,35.107589,0,2,2,0.772,0.80%,1,8,9,3.475,3.50%,15,18,33,12.741,12.70%,13,31,44,16.988,17.00%,57,103,160,61.776,61.80%,1,1,2,0.772,0.80%,2,7,9,3.475,3.50%,259,0,0,0
2019,Levine Middle College High,LEVINE MIDDLE COLLEGE HIGH,-80.692782,35.107589,0,2,2,0.847,0.80%,2,13,15,6.356,6.40%,8,8,16,6.78,6.80%,11,16,27,11.441,11.40%,60,103,163,69.068,69.10%,0,0,0,0,0.00%,6,7,13,5.508,5.50%,236,0,0,0
2020,Levine Middle College High,LEVINE MIDDLE COLLEGE HIGH,-80.692782,35.107589,1,2,3,1.293,1.30%,4,20,24,10.345,10.30%,6,10,16,6.897,6.90%,9,11,20,8.621,8.60%,69,87,156,67.241,67.20%,0,0,0,0,0.00%,6,7,13,5.603,5.60%,232,0,1,1
2008,LINCOLN HEIGHTS ELEM,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,0,0,0,0,0.00%,7,8,15,3.866,3.90%,37,38,75,19.33,19.30%,149,124,273,70.361,70.40%,13,12,25,6.443,6.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,388,0,1,1
2009,LINCOLN HEIGHTS ELEM,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,1,0,1,0.299,0.30%,4,8,12,3.582,3.60%,24,27,51,15.224,15.20%,144,113,257,76.716,76.70%,7,7,14,4.179,4.20%,0,0,0,0,0.00%,0,0,0,0,0.00%,335,1,1,1
2010,LINCOLN HEIGHTS ELEM,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,1,0,1,0.361,0.40%,4,1,5,1.805,1.80%,29,24,53,19.134,19.10%,114,96,210,75.812,75.80%,4,4,8,2.888,2.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,277,1,1,1
2011,LINCOLN HEIGHTS ELEMENTARY,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,1,0,1,0.36,0.40%,4,0,4,1.439,1.40%,17,21,38,13.669,13.70%,119,105,224,80.576,80.60%,2,1,3,1.079,1.10%,0,0,0,0,0.00%,3,5,8,2.878,2.90%,278,1,1,1
2013,LINCOLN HEIGHTS ACADEMY,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,1,0,1,1.235,1.20%,0,0,0,0,0.00%,2,1,3,3.704,3.70%,52,11,63,77.778,77.80%,11,1,12,14.815,14.80%,0,0,0,0,0.00%,1,1,2,2.469,2.50%,81,1,0,1
2014,Lincoln Heights Academy,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,0,0,0,0,0.00%,0,0,0,0,0.00%,3,2,5,4.673,4.70%,66,16,82,76.636,76.60%,17,1,18,16.822,16.80%,0,0,0,0,0.00%,1,1,2,1.869,1.90%,107,1,0,1
2015,Lincoln Heights Academy,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,0,0,0,0,0.00%,0,0,0,0,0.00%,3,1,4,3.571,3.60%,72,14,86,76.786,76.80%,17,2,19,16.964,17.00%,0,0,0,0,0.00%,1,2,3,2.679,2.70%,112,1,0,1
2016,Lincoln Heights Academy,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,0,0,0,0,0.00%,0,0,0,0,0.00%,4,2,6,6.061,6.10%,59,11,70,70.707,70.70%,14,5,19,19.192,19.20%,0,0,0,0,0.00%,4,0,4,4.04,4.00%,99,0,0,0
2017,Lincoln Heights Academy,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,0,0,0,0,0.00%,0,0,0,0,0.00%,5,2,7,7.216,7.20%,61,12,73,75.258,75.30%,9,5,14,14.433,14.40%,0,0,0,0,0.00%,3,0,3,3.093,3.10%,97,1,0,1
2018,Lincoln Heights Academy,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,0,0,0,0,0.00%,0,0,0,0,0.00%,2,1,3,3.333,3.30%,52,13,65,72.222,72.20%,10,7,17,18.889,18.90%,1,0,1,1.111,1.10%,4,0,4,4.444,4.40%,90,0,0,0
2019,Lincoln Heights Academy,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,0,0,0,0,0.00%,0,0,0,0,0.00%,2,1,3,3.75,3.80%,47,12,59,73.75,73.80%,7,6,13,16.25,16.30%,0,0,0,0,0.00%,5,0,5,6.25,6.30%,80,0,0,0
2020,Lincoln Heights Academy,LINCOLN HEIGHTS ACADEMY,-80.84219,35.259169,1,0,1,1.408,1.40%,1,0,1,1.408,1.40%,2,1,3,4.225,4.20%,42,6,48,67.606,67.60%,2,6,8,11.268,11.30%,0,0,0,0,0.00%,9,1,10,14.085,14.10%,71,0,0,0
2008,LONG CREEK ELEM,LONG CREEK ELEMENTARY,-80.890703,35.349515,2,4,6,0.806,0.80%,6,10,16,2.151,2.20%,37,32,69,9.274,9.30%,99,102,201,27.016,27.00%,233,219,452,60.753,60.80%,0,0,0,0,0.00%,0,0,0,0,0.00%,744,0,0,0
2009,LONG CREEK ELEM,LONG CREEK ELEMENTARY,-80.890703,35.349515,3,2,5,1.116,1.10%,10,2,12,2.679,2.70%,15,14,29,6.473,6.50%,102,113,215,47.991,48.00%,105,82,187,41.741,41.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,448,0,0,0
2010,LONG CREEK ELEM,LONG CREEK ELEMENTARY,-80.890703,35.349515,3,2,5,1.029,1.00%,11,3,14,2.881,2.90%,16,13,29,5.967,6.00%,131,113,244,50.206,50.20%,108,86,194,39.918,39.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,486,0,0,0
2011,LONG CREEK ELEMENTARY,LONG CREEK ELEMENTARY,-80.890703,35.349515,1,2,3,0.633,0.60%,15,4,19,4.008,4.00%,16,13,29,6.118,6.10%,117,102,219,46.203,46.20%,95,78,173,36.498,36.50%,0,0,0,0,0.00%,10,21,31,6.54,6.50%,474,0,0,0
2012,LONG CREEK ELEMENTARY,LONG CREEK ELEMENTARY,-80.890703,35.349515,2,1,3,0.583,0.60%,13,5,18,3.495,3.50%,22,20,42,8.155,8.20%,144,127,271,52.621,52.60%,83,76,159,30.874,30.90%,0,0,0,0,0.00%,9,13,22,4.272,4.30%,515,0,0,0
2013,LONG CREEK ELEMENTARY,LONG CREEK ELEMENTARY,-80.890703,35.349515,2,0,2,0.388,0.40%,17,7,24,4.66,4.70%,29,21,50,9.709,9.70%,126,130,256,49.709,49.70%,91,72,163,31.65,31.70%,0,0,0,0,0.00%,9,11,20,3.883,3.90%,515,0,0,0
2014,Long Creek Elementary,LONG CREEK ELEMENTARY,-80.890703,35.349515,1,0,1,0.2,0.20%,17,9,26,5.21,5.20%,34,21,55,11.022,11.00%,129,131,260,52.104,52.10%,80,63,143,28.657,28.70%,0,0,0,0,0.00%,7,7,14,2.806,2.80%,499,0,0,0
2015,Long Creek Elementary,LONG CREEK ELEMENTARY,-80.890703,35.349515,1,0,1,0.221,0.20%,12,10,22,4.857,4.90%,29,31,60,13.245,13.20%,123,105,228,50.331,50.30%,72,58,130,28.698,28.70%,0,0,0,0,0.00%,5,7,12,2.649,2.60%,453,0,0,0
2016,Long Creek Elementary,LONG CREEK ELEMENTARY,-80.890703,35.349515,2,3,5,1.089,1.10%,10,11,21,4.575,4.60%,36,35,71,15.468,15.50%,116,105,221,48.148,48.10%,65,60,125,27.233,27.20%,0,0,0,0,0.00%,8,8,16,3.486,3.50%,459,0,0,0
2017,Long Creek Elementary,LONG CREEK ELEMENTARY,-80.890703,35.349515,0,4,4,0.851,0.90%,10,12,22,4.681,4.70%,31,31,62,13.191,13.20%,153,127,280,59.574,59.60%,41,42,83,17.66,17.70%,0,0,0,0,0.00%,9,10,19,4.043,4.00%,470,0,0,0
2018,Long Creek Elementary,LONG CREEK ELEMENTARY,-80.890703,35.349515,2,1,3,0.661,0.70%,8,12,20,4.405,4.40%,38,32,70,15.419,15.40%,135,130,265,58.37,58.40%,41,38,79,17.401,17.40%,1,0,1,0.22,0.20%,8,8,16,3.524,3.50%,454,0,0,0
2019,Long Creek Elementary,LONG CREEK ELEMENTARY,-80.890703,35.349515,2,1,3,0.595,0.60%,8,16,24,4.762,4.80%,42,35,77,15.278,15.30%,152,160,312,61.905,61.90%,34,38,72,14.286,14.30%,1,0,1,0.198,0.20%,8,7,15,2.976,3.00%,504,0,0,0
2020,Long Creek Elementary,LONG CREEK ELEMENTARY,-80.890703,35.349515,1,0,1,0.189,0.20%,10,12,22,4.167,4.20%,46,35,81,15.341,15.30%,164,160,324,61.364,61.40%,32,35,67,12.689,12.70%,0,0,0,0,0.00%,16,17,33,6.25,6.30%,528,0,0,0
2008,MALLARD CREEK,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,4,2,6,0.581,0.60%,66,48,114,11.036,11.00%,41,46,87,8.422,8.40%,238,258,496,48.015,48.00%,161,169,330,31.946,31.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,1033,0,0,0
2009,MALLARD CREEK,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,4,0,4,0.582,0.60%,51,46,97,14.119,14.10%,36,29,65,9.461,9.50%,180,188,368,53.566,53.60%,70,83,153,22.271,22.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,687,0,0,0
2010,MALLARD CREEK,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,3,1,4,0.602,0.60%,40,52,92,13.835,13.80%,37,33,70,10.526,10.50%,194,167,361,54.286,54.30%,70,68,138,20.752,20.80%,0,0,0,0,0.00%,0,0,0,0,0.00%,665,0,0,0
2011,MALLARD CREEK ELEMENTARY,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,6,1,7,0.933,0.90%,44,67,111,14.8,14.80%,41,35,76,10.133,10.10%,207,181,388,51.733,51.70%,62,64,126,16.8,16.80%,0,0,0,0,0.00%,23,19,42,5.6,5.60%,750,0,0,0
2012,MALLARD CREEK ELEMENTARY,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,7,5,12,1.43,1.40%,44,82,126,15.018,15.00%,47,28,75,8.939,8.90%,239,214,453,53.993,54.00%,75,72,147,17.521,17.50%,0,0,0,0,0.00%,9,17,26,3.099,3.10%,839,0,0,0
2013,MALLARD CREEK ELEMENTARY,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,8,5,13,1.52,1.50%,52,76,128,14.971,15.00%,48,36,84,9.825,9.80%,243,214,457,53.45,53.50%,80,71,151,17.661,17.70%,0,0,0,0,0.00%,9,13,22,2.573,2.60%,855,0,0,0
2014,Mallard Creek Elementary,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,7,2,9,1.043,1.00%,59,79,138,15.991,16.00%,50,40,90,10.429,10.40%,250,217,467,54.114,54.10%,67,56,123,14.253,14.30%,0,1,1,0.116,0.10%,14,21,35,4.056,4.10%,863,0,0,0
2015,Mallard Creek Elementary,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,6,2,8,0.996,1.00%,48,60,108,13.45,13.40%,55,40,95,11.831,11.80%,253,220,473,58.904,58.90%,44,47,91,11.333,11.30%,1,1,2,0.249,0.20%,11,15,26,3.238,3.20%,803,0,0,0
2016,Mallard Creek Elementary,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,6,4,10,1.383,1.40%,39,59,98,13.555,13.60%,48,37,85,11.757,11.80%,223,216,439,60.719,60.70%,42,31,73,10.097,10.10%,1,1,2,0.277,0.30%,10,6,16,2.213,2.20%,723,0,0,0
2017,Mallard Creek Elementary,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,3,1,4,0.596,0.60%,43,41,84,12.519,12.50%,35,30,65,9.687,9.70%,224,216,440,65.574,65.60%,31,29,60,8.942,8.90%,0,1,1,0.149,0.10%,11,6,17,2.534,2.50%,671,0,1,1
2018,Mallard Creek Elementary,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,2,1,3,0.474,0.50%,36,39,75,11.848,11.80%,51,36,87,13.744,13.70%,192,199,391,61.769,61.80%,32,26,58,9.163,9.20%,0,0,0,0,0.00%,11,8,19,3.002,3.00%,633,0,1,1
2019,Mallard Creek Elementary,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,2,6,8,1.309,1.30%,28,42,70,11.457,11.50%,47,47,94,15.385,15.40%,189,175,364,59.574,59.60%,27,24,51,8.347,8.30%,0,0,0,0,0.00%,11,13,24,3.928,3.90%,611,0,1,1
2020,Mallard Creek Elementary,MALLARD CREEK ELEMENTARY,-80.774127,35.335447,4,3,7,1.239,1.20%,26,29,55,9.735,9.70%,43,50,93,16.46,16.50%,182,167,349,61.77,61.80%,16,23,39,6.903,6.90%,0,0,0,0,0.00%,12,10,22,3.894,3.90%,565,0,1,1
2008,MALLARD CREEK HIGH,MALLARD CREEK HIGH,-80.769308,35.365201,5,6,11,0.753,0.80%,36,40,76,5.202,5.20%,53,53,106,7.255,7.30%,403,422,825,56.468,56.50%,230,213,443,30.322,30.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,1461,0,0,0
2009,MALLARD CREEK HIGH,MALLARD CREEK HIGH,-80.769308,35.365201,3,5,8,0.421,0.40%,56,45,101,5.319,5.30%,86,74,160,8.425,8.40%,540,528,1068,56.24,56.20%,290,272,562,29.595,29.60%,0,0,0,0,0.00%,0,0,0,0,0.00%,1899,0,0,0
2010,MALLARD CREEK HIGH,MALLARD CREEK HIGH,-80.769308,35.365201,4,5,9,0.453,0.50%,47,49,96,4.831,4.80%,78,71,149,7.499,7.50%,608,574,1182,59.487,59.50%,293,258,551,27.73,27.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,1987,0,0,0
2011,MALLARD CREEK HIGH,MALLARD CREEK HIGH,-80.769308,35.365201,3,1,4,0.194,0.20%,46,48,94,4.568,4.60%,78,81,159,7.726,7.70%,622,585,1207,58.649,58.60%,263,253,516,25.073,25.10%,0,0,0,0,0.00%,39,39,78,3.79,3.80%,"2,058",0,0,0
2012,MALLARD CREEK HIGH,MALLARD CREEK HIGH,-80.769308,35.365201,6,3,9,0.418,0.40%,46,49,95,4.414,4.40%,82,96,178,8.271,8.30%,672,636,1308,60.781,60.80%,282,233,515,23.931,23.90%,0,0,0,0,0.00%,28,19,47,2.184,2.20%,"2,152",0,0,0
2013,MALLARD CREEK HIGH,MALLARD CREEK HIGH,-80.769308,35.365201,9,6,15,0.664,0.70%,54,58,112,4.958,5.00%,91,92,183,8.101,8.10%,702,685,1387,61.399,61.40%,266,235,501,22.178,22.20%,0,0,0,0,0.00%,31,30,61,2.7,2.70%,"2,259",0,0,0
2014,Mallard Creek High,MALLARD CREEK HIGH,-80.769308,35.365201,6,6,12,0.525,0.50%,73,45,118,5.162,5.20%,92,94,186,8.136,8.10%,738,691,1429,62.511,62.50%,234,230,464,20.297,20.30%,0,1,1,0.044,0.00%,34,42,76,3.325,3.30%,"2,286",0,0,0
2015,Mallard Creek High,MALLARD CREEK HIGH,-80.769308,35.365201,6,8,14,0.566,0.60%,81,56,137,5.542,5.50%,106,113,219,8.859,8.90%,783,785,1568,63.43,63.40%,216,232,448,18.123,18.10%,0,1,1,0.04,0.00%,34,51,85,3.439,3.40%,"2,472",0,0,0
2016,Mallard Creek High,MALLARD CREEK HIGH,-80.769308,35.365201,5,7,12,0.476,0.50%,83,40,123,4.883,4.90%,123,112,235,9.329,9.30%,837,816,1653,65.621,65.60%,186,209,395,15.681,15.70%,0,0,0,0,0.00%,51,50,101,4.01,4.00%,"2,519",0,0,0
2017,Mallard Creek High,MALLARD CREEK HIGH,-80.769308,35.365201,2,3,5,0.199,0.20%,74,45,119,4.743,4.70%,112,120,232,9.247,9.20%,862,825,1687,67.238,67.20%,184,181,365,14.548,14.50%,1,0,1,0.04,0.00%,47,53,100,3.986,4.00%,"2,509",0,0,0
2018,Mallard Creek High,MALLARD CREEK HIGH,-80.769308,35.365201,6,2,8,0.307,0.30%,76,55,131,5.033,5.00%,104,124,228,8.759,8.80%,864,887,1751,67.269,67.30%,194,177,371,14.253,14.30%,1,0,1,0.038,0.00%,51,62,113,4.341,4.30%,"2,603",0,0,0
2019,Mallard Creek High,MALLARD CREEK HIGH,-80.769308,35.365201,4,3,7,0.288,0.30%,75,58,133,5.469,5.50%,133,132,265,10.896,10.90%,810,795,1605,65.995,66.00%,174,151,325,13.363,13.40%,1,0,1,0.041,0.00%,50,46,96,3.947,3.90%,"2,432",0,0,0
2020,Mallard Creek High,MALLARD CREEK HIGH,-80.769308,35.365201,3,6,9,0.373,0.40%,67,55,122,5.054,5.10%,134,142,276,11.433,11.40%,755,816,1571,65.079,65.10%,158,126,284,11.765,11.80%,1,0,1,0.041,0.00%,69,82,151,6.255,6.30%,2414,0,0,0
2018,Marie G Davis,MARIE G DAVIS,-80.876552,35.202446,0,1,1,0.196,0.20%,3,0,3,0.588,0.60%,152,143,295,57.843,57.80%,107,88,195,38.235,38.20%,10,2,12,2.353,2.40%,0,0,0,0,0.00%,2,2,4,0.784,0.80%,510,0,1,1
2019,Marie G Davis,MARIE G DAVIS,-80.876552,35.202446,0,0,0,0,0.00%,2,0,2,0.35,0.30%,131,123,254,44.406,44.40%,157,143,300,52.448,52.40%,7,2,9,1.573,1.60%,0,0,0,0,0.00%,3,4,7,1.224,1.20%,572,0,1,1
2020,Marie G Davis,MARIE G DAVIS,-80.876552,35.202446,0,0,0,0,0.00%,1,0,1,0.211,0.20%,108,105,213,45.032,45.00%,126,121,247,52.22,52.20%,3,0,3,0.634,0.60%,0,0,0,0,0.00%,5,4,9,1.903,1.90%,473,0,1,1
2009,MARIE G DAVIS MILITA,MARIE G DAVIS MILITA,-80.876561,35.202528,5,0,5,1.241,1.20%,4,3,7,1.737,1.70%,21,13,34,8.437,8.40%,198,102,300,74.442,74.40%,42,15,57,14.144,14.10%,0,0,0,0,0.00%,0,0,0,0,0.00%,403,0,0,0
2010,MARIE G DAVIS MILITA,MARIE G DAVIS MILITA,-80.876561,35.202528,2,0,2,0.515,0.50%,5,5,10,2.577,2.60%,31,24,55,14.175,14.20%,174,89,263,67.784,67.80%,42,16,58,14.948,14.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,388,0,0,0
2008,"ML KING, JR MIDDLE  ",MARTIN LUTHER KING JR MIDDLE,-80.778699,35.263409,4,2,6,0.607,0.60%,12,7,19,1.923,1.90%,142,148,290,29.352,29.40%,298,340,638,64.575,64.60%,18,17,35,3.543,3.50%,0,0,0,0,0.00%,0,0,0,0,0.00%,988,0,1,1
2009,"ML KING, JR MIDDLE    ",MARTIN LUTHER KING JR MIDDLE,-80.778699,35.263409,4,1,5,0.556,0.60%,13,9,22,2.447,2.40%,145,142,287,31.924,31.90%,268,295,563,62.625,62.60%,10,12,22,2.447,2.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,899,0,1,1
